numt, numnodes, tilesize, volume, mhs, time
64, 59, 0.00267539, 25.314840, 2.959010, 0.001176
64, 56, 0.00297521, 25.315103, 0.583985, 0.005370
64, 53, 0.0033284, 25.315411, 1.815740, 0.001547
64, 51, 0.0036, 25.315649, 2.019901, 0.001288
64, 48, 0.00407424, 25.316064, 1.876327, 0.001228
64, 46, 0.00444444, 25.316388, 1.501642, 0.001409
64, 43, 0.00510204, 25.316962, 1.503478, 0.001230
64, 41, 0.005625, 25.317420, 1.295865, 0.001297
64, 39, 0.00623269, 25.317950, 1.201669, 0.001266
64, 37, 0.00694444, 25.318572, 1.104890, 0.001239
64, 35, 0.00778547, 25.319308, 0.703311, 0.001742
64, 33, 0.00878906, 25.320185, 0.850658, 0.001280
64, 32, 0.00936524, 25.320687, 0.795210, 0.001288
64, 30, 0.0107015, 25.321854, 0.691418, 0.001302
64, 29, 0.0114796, 25.322534, 0.625727, 0.001344
64, 27, 0.0133136, 25.324136, 0.384586, 0.001896
64, 26, 0.0144, 25.325084, 0.485418, 0.001393
64, 24, 0.0170132, 25.327365, 0.457352, 0.001259
64, 23, 0.018595, 25.328745, 0.413141, 0.001280
64, 22, 0.0204082, 25.330326, 0.388845, 0.001245
64, 21, 0.0225, 25.332149, 0.211496, 0.002085
64, 20, 0.0249307, 25.334267, 0.253595, 0.001577
64, 19, 0.0277778, 25.336746, 0.285662, 0.001264
64, 18, 0.0311419, 25.339676, 0.253283, 0.001279
64, 17, 0.0351562, 25.343167, 0.233469, 0.001238
64, 16, 0.04, 25.347379, 0.173188, 0.001478
64, 15, 0.0459184, 25.352517, 0.183886, 0.001224
64, 14, 0.0532544, 25.358882, 0.162649, 0.001205
32, 32768, 8.38241e-09, 25.312500, 522.832719, 2.053701
32, 31129, 9.28838e-09, 25.312500, 507.230791, 1.910402
32, 29573, 1.02916e-08, 25.312500, 509.065396, 1.717976
32, 28094, 1.14037e-08, 25.312500, 488.428600, 1.615943
32, 26689, 1.2636e-08, 25.312500, 506.182814, 1.407204
32, 25355, 1.40007e-08, 25.312500, 515.776316, 1.246424
32, 24087, 1.55136e-08, 25.312500, 515.869078, 1.124672
32, 22883, 1.71892e-08, 25.312500, 513.005774, 1.020713
32, 21738, 1.90477e-08, 25.312500, 483.930015, 0.976465
32, 20652, 2.11038e-08, 25.312500, 490.622732, 0.869314
32, 19619, 2.33848e-08, 25.312500, 481.196127, 0.799892
32, 18638, 2.59114e-08, 25.312500, 493.114323, 0.704451
32, 17706, 2.87112e-08, 25.312500, 481.409282, 0.651218
32, 16821, 3.1812e-08, 25.312500, 500.039439, 0.565847
32, 15980, 3.52487e-08, 25.312500, 502.854633, 0.507822
32, 15181, 3.9057e-08, 25.312500, 496.099154, 0.464550
32, 14422, 4.32765e-08, 25.312500, 469.420054, 0.443087
32, 13700, 4.79584e-08, 25.312500, 465.917455, 0.402840
32, 13015, 5.31399e-08, 25.312500, 480.842096, 0.352278
32, 12365, 5.88741e-08, 25.312500, 451.652960, 0.338519
